DOI	Publication Date	Publication Year	Journal	'Research Article' or 'non-Research Article'?	Article Title	Citations - CrossRef	Citations - PubMed Central	Citations - Scopus	Total HTML Page Views	Total PDF Downloads	Total XML Downloads	Combined Usage (HTML + PDF + XML)	Blog Coverage - Postgenomic	Blog Coverage - Nature Blogs	Blog Coverage - Bloglines	Blog Coverage - ResearchBlogging.org	Number of Trackbacks	Social Bookmarking - CiteULike	Social Bookmarking - Connotea	Number of Ratings	Average Rating	Number of Note threads	Number of replies to Notes	Number of Comment threads	Number of replies to Comments	Number of 'Star Ratings' that also include a text comment
10.1371/journal.pbio.0000013	37879	2003	PLoS Biology	RA	Drosophila Free-Running Rhythms Require Intercellular Communication	27	25	88	8732	764	89	9585	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000014	37907	2003	PLoS Biology	non RA	Heterochromatin Dynamics	1	0	1	8425	405	72	8902	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000015	37907	2003	PLoS Biology	non RA	Microarray Analysis	3	3	12	24342	2471	135	26948	0	0	0	0	0	6	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000016	37907	2003	PLoS Biology	non RA	V(D)J Recombination and the Evolution of the Adaptive Immune System	4	1	9	18195	1779	139	20113	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000017	37907	2003	PLoS Biology	non RA	Neuroscience Networks	7	5	24	18567	392	75	19034	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000018	37907	2003	PLoS Biology	non RA	Digital Evolution	4	0	6	14321	471	84	14876	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000019	37879	2003	PLoS Biology	RA	From Gene Trees to Organismal Phylogeny in Prokaryotes:The Case of the ?-Proteobacteria	29	51	151	11045	1655	91	12791	0	0	0	0	0	6	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000020	37907	2003	PLoS Biology	RA	Candidate Gene Association Study in Type 2 Diabetes Indicates a Role for Genes Involved in ?-Cell Function as Well as Insulin Action	47	17	127	14907	1700	104	16711	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000021	37907	2003	PLoS Biology	RA	Developmental Origin and Evolution of Bacteriocytes in the Aphid?Buchnera Symbiosis	13	7	35	6531	711	72	7314	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000022	37942	2003	PLoS Biology	non RA	Beyond the Fire-Hazard Mentality of Medicine: The Ecology of Infectious Diseases	0	0	2	6859	559	54	7472	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000023	37879	2003	PLoS Biology	non RA	Biological Clock Depends on Many Parts Working Together	0	0	0	7390	126	66	7582	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000024	37907	2003	PLoS Biology	non RA	Developmental Origins and Evolution of Buchnera Host Cells	0	0	0	2724	102	61	2887	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000025	37942	2003	PLoS Biology	RA	A Gain-Field Encoding of Limb Position and Velocity in the Internal Model of Arm Dynamics	8	5	32	3590	402	53	4045	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000026	37907	2003	PLoS Biology	non RA	Supersensitive Worms Reveal New Gene Functions	0	0	0	3122	41	60	3223	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000027	37907	2003	PLoS Biology	non RA	What Controls Variation in Human Skin Color?	17	4	27	61948	2104	246	64298	1	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000028	37942	2003	PLoS Biology	RA	Partially Phosphorylated Pho4 Activates Transcription of a Subset of Phosphate-Responsive Genes	12	15	30	4115	433	47	4595	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000029	37977	2003	PLoS Biology	non RA	Structural Mechanism Shows How Transferrin Receptor Binds Multiple Ligands and Sheds Light on a Hereditary Iron Disease	0	0	0	2710	198	48	2956	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000030	37907	2003	PLoS Biology	non RA	Large-Scale Association Study Confirms Genetic Complexity Underlying Type 2 Diabetes	0	0	0	4567	155	60	4782	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000031	37879	2003	PLoS Biology	non RA	New Genomic Approach Predicts True Evolutionary History of Bacterial Genomes	0	0	0	4234	128	59	4421	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000032	37907	2003	PLoS Biology	non RA	Mathematical Modeling Predicts How Proteins Affect Cellular Communication	0	0	0	6658	233	61	6952	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000033	37942	2003	PLoS Biology	RA	Biochemical Characterization of DNA Damage Checkpoint Complexes: Clamp Loader and Clamp Complexes with Specificity for 5? Recessed DNA	23	37	121	6727	657	48	7432	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000034	37907	2003	PLoS Biology	non RA	PLoS Biology?We're Open	0	2	3	12173	167	76	12416	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000035	37942	2003	PLoS Biology	RA	The Drosophila Sterile-20 Kinase Slik Controls Cell Proliferation and Apoptosis during Imaginal Disc Development	4	5	18	5433	578	56	6067	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000036	37907	2003	PLoS Biology	non RA	Why PLoS Became a Publisher	14	7	20	26609	744	159	27512	1	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000037	37942	2003	PLoS Biology	non RA	Army Ants Trapped by Their Evolutionary History	0	0	0	11642	326	45	12013	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000038	37942	2003	PLoS Biology	non RA	Patricia Goldman-Rakic	0	0	0	2734	84	47	2865	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000039	37942	2003	PLoS Biology	non RA	Genomics Research and Malaria Control: Great Expectations	0	0	2	7370	404	48	7822	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000040	37942	2003	PLoS Biology	non RA	A Field Trip to the Mesozoic	0	0	0	3856	193	51	4100	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000041	37942	2003	PLoS Biology	RA	Embryonic Origins of a Motor System: Motor Dendrites Form a Myotopic Map in Drosophila	7	6	30	6848	778	57	7683	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000042	37907	2003	PLoS Biology	RA	Learning to Control a Brain?Machine Interface for Reaching and Grasping by Primates	82	17	291	25821	4223	162	30206	0	0	0	0	0	13	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000043	37942	2003	PLoS Biology	non RA	slik Gene Controls Cell Growth and Survival	0	0	0	1865	34	45	1944	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000044	37942	2003	PLoS Biology	non RA	Newly Sequenced Worm a Boon for Worm Biologists	0	0	0	3350	52	42	3444	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000045	37942	2003	PLoS Biology	RA	The Genome Sequence of Caenorhabditis briggsae: A Platform for Comparative Genomics	71	142	333	25578	2305	91	27974	2	0	0	0	0	6	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000046	37942	2003	PLoS Biology	non RA	Biodiversity Conservation Demands Open Access	0	0	1	4838	345	45	5228	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000047	37942	2003	PLoS Biology	non RA	A Single Protein in Yeast Can Fine-Tune an Environmental Response	0	0	0	1697	40	42	1779	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000048	37942	2003	PLoS Biology	non RA	Tough Mining	0	5	11	10579	403	76	11058	0	0	0	0	0	1	3	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000049	37977	2003	PLoS Biology	non RA	A Wingless Flight	0	0	0	3052	225	50	3327	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000050	37942	2003	PLoS Biology	non RA	Current Approaches to the Study of Movement Control	0	0	1	4689	333	47	5069	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000051	37977	2003	PLoS Biology	RA	Mechanism for Multiple Ligand Recognition by the Human Transferrin Receptor	7	6	39	4567	505	45	5117	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000052	37942	2003	PLoS Biology	RA	Additive Effects of PDGF Receptor ? Signaling Pathways in Vascular Smooth Muscle Cell Development	5	8	28	6054	602	53	6709	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000053	37942	2003	PLoS Biology	RA	T Cell Receptor-Independent Basal Signaling via Erk and Abl Kinases Suppresses RAG Gene Expression	12	12	36	8089	730	66	8885	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000054	37942	2003	PLoS Biology	non RA	Novel ?Checkpoint? Mechanism Mediates DNA Damage Responses	0	0	0	2465	77	39	2581	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000055	37907	2003	PLoS Biology	non RA	Retraining the Brain to Recover Movement	0	0	0	4424	131	44	4599	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000056	37942	2003	PLoS Biology	non RA	Underlying Principles of Motor System Organization Revealed	0	0	0	2529	96	43	2668	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000057	37942	2003	PLoS Biology	non RA	The What and Whys of DOIs	0	1	1	4675	166	51	4892	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000058	37942	2003	PLoS Biology	non RA	Comparative Genomics	13	22	75	26459	2971	101	29531	0	0	0	0	0	9	3	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000059	37921	2003	PLoS Biology	RA	Pten Dose Dictates Cancer Progression in the Prostate	50	27	147	9089	1601	82	10772	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000060	37907	2003	PLoS Biology	RA	Identification of Drosophila MicroRNA Targets	100	83	288	15794	3103	78	18975	0	0	0	0	0	5	2	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000061	37977	2003	PLoS Biology	non RA	New Screen Identifies Elusive MicroRNA Targets	0	0	0	2990	161	40	3191	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000062	37942	2003	PLoS Biology	non RA	Development of Vascular Smooth Muscle Cells Depends on Signaling Synergy	0	0	0	3513	100	44	3657	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000063	37942	2003	PLoS Biology	non RA	Basal Signaling Suppresses RAG Genes during T Cell Development	0	0	0	2059	68	46	2173	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000064	37942	2003	PLoS Biology	non RA	Computer Model Predicts How the Brain Controls Limb Dynamics	0	0	0	1967	60	43	2070	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000065	37977	2003	PLoS Biology	RA	Detection and Characterizationof Cellular Immune Responses Using Peptide?MHC Microarrays	23	7	52	9189	1101	61	10351	0	0	0	0	0	0	1	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000066	37977	2003	PLoS Biology	non RA	The Virus That Changed My World	0	0	0	4213	184	41	4438	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000067	37977	2003	PLoS Biology	RA	Distinct Mechanisms Determine Transposon Inheritance and Methylation via Small Interfering RNA and Histone Modification	62	46	155	8792	1615	50	10457	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000068	37928	2003	PLoS Biology	RA	GAD2 on Chromosome 10p12 Is a Candidate Gene for Human Obesity	26	9	69	6775	644	58	7477	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000069	37928	2003	PLoS Biology	RA	Linkage of Osteoporosis to Chromosome 20p12 and Association to BMP2	52	17	104	4902	619	55	5576	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000070	37977	2003	PLoS Biology	non RA	Dose of PTEN Gene Drives Progression of Prostate Cancer	0	0	1	1800	117	38	1955	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000071	37977	2003	PLoS Biology	non RA	Research Advocacy: Why Every Scientist Should Participate	1	1	2	2404	102	39	2545	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000072	37977	2003	PLoS Biology	RA	Architecture and Selectivity in Aquaporins: 2.5 ? X-Ray Structure of Aquaporin Z	19	17	69	6116	725	62	6903	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000073	37977	2003	PLoS Biology	non RA	Rose-Tinted Ecology	0	0	0	2020	171	42	2233	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000074	37977	2003	PLoS Biology	RA	Transcriptome Analysis of Mouse Stem Cells and Early Embryos	23	25	92	13636	1659	74	15369	0	0	0	0	0	4	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000075	37977	2003	PLoS Biology	non RA	Structure of Aquaporin Reveals Mechanism for Transport Selectivity	0	0	0	3251	239	43	3533	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000076	37977	2003	PLoS Biology	non RA	New Microarray Detects Antigen-Specific T Cells and Immune Responses	0	0	0	2310	164	53	2527	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000077	37977	2003	PLoS Biology	non RA	Economy of the Mind	0	0	1	15251	725	80	16056	1	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000078	37977	2003	PLoS Biology	non RA	Antigen-Specific T Cells: Analyses of the Needles in the Haystack	1	2	5	4168	330	49	4547	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000079	37977	2003	PLoS Biology	non RA	How Mammals Acquire and Distribute Iron Needed for Oxygen-Based Metabolism	0	2	8	8941	478	73	9492	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000080	37977	2003	PLoS Biology	RA	"Tre1, a G Protein-Coupled Receptor, Directs Transepithelial Migration of Drosophila Germ Cells"	7	4	37	5306	548	53	5907	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000081	37977	2003	PLoS Biology	non RA	GAD2 Identified as Candidate Gene for Obesity	0	0	0	2507	152	43	2702	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000082	37977	2003	PLoS Biology	non RA	Human Epigenome Project?Up and Running	1	2	17	10797	1198	86	12081	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000083	37977	2003	PLoS Biology	RA	Inhibition of HIF2? Is Sufficient to Suppress pVHL-Defective Tumor Growth	46	39	147	4825	755	51	5631	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000084	37977	2003	PLoS Biology	non RA	Distinct Mechanisms Control Transposon Inheritance through Overlapping Pathways	0	0	0	3013	199	49	3261	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000085	37977	2003	PLoS Biology	non RA	Chromosome Locus and Candidate Gene for Osteoporosis Identified	0	0	0	1735	94	42	1871	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000086	37977	2003	PLoS Biology	non RA	"How Are the Sizes of Cells, Organs, and Bodies Controlled?"	5	2	13	14340	835	58	15233	0	0	0	0	0	2	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000087	37977	2003	PLoS Biology	non RA	Gene Expression Profile Created for Mouse Stem Cells and Developing Embryo	0	0	0	2637	204	43	2884	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000088	37977	2003	PLoS Biology	non RA	Novel Receptor Guides Germ Cell Transepithelial Migration in Drosophila	0	0	0	1222	86	43	1351	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000089	37977	2003	PLoS Biology	non RA	A Changing Landscape	0	0	0	3009	133	44	3186	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000090	37977	2003	PLoS Biology	non RA	Inhibition of HIF2? Protein Suppresses pVHL-Driven Tumor Growth	0	0	0	1071	68	38	1177	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000091	37977	2003	PLoS Biology	#N/A	Correction: What Controls Variation in Human Skin Color?	0	0	0	2049	114	49	2212	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0000092	37977	2003	PLoS Biology	#N/A	Correction: Candidate Gene Association Study in Type 2 Diabetes Indicates a Role for Genes Involved in ?-Cell Function as Well as Insulin Action	0	0	0	1059	90	42	1191	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020001	38006	2004	PLoS Biology	non RA	Science on the Rise in Developing Countries	20	0	21	9103	395	38	9536	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020002	37949	2003	PLoS Biology	RA	JAMM: A Metalloprotease-Like Zinc Site in the Proteasome and Signalosome	14	13	53	6069	648	37	6754	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020003	38006	2004	PLoS Biology	RA	Dorsoventral Patterning of the Mouse Coat by Tbx15	16	5	24	4370	441	45	4856	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020004	38006	2004	PLoS Biology	RA	Cell-Passage Activity Is Required for the Malarial Parasite to Cross the Liver Sinusoidal Cell Layer	23	14	69	5938	581	52	6571	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020005	38006	2004	PLoS Biology	RA	Loss of Olfactory Receptor Genes Coincides with the Acquisition of Full Trichromatic Vision in Primates	44	22	89	14447	1639	83	16169	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020006	38006	2004	PLoS Biology	RA	HIV-1 Nef Binds the DOCK2?ELMO1 Complex to Activate Rac and Inhibit Lymphocyte Chemotaxis	3	9	41	4722	479	42	5243	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020007	37999	2004	PLoS Biology	RA	Gene Expression Signature of Fibroblast Serum Response Predicts Human Cancer Progression: Similarities between Tumors and Wounds	68	82	241	20868	2909	107	23884	0	0	0	0	0	2	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020008	38006	2004	PLoS Biology	RA	Contribution of Noncentrosomal Microtubules to Spindle Assembly in Drosophila Spermatocytes	7	7	29	5502	415	48	5965	0	0	0	0	0	0	1	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020009	37970	2003	PLoS Biology	RA	Similarities and Differences in Genome-Wide Expression Data of Six Organisms	22	51	103	15607	1592	56	17255	0	0	0	0	0	14	5	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020010	38006	2004	PLoS Biology	non RA	Looking from the Past to the Future	1	0	0	2070	58	41	2169	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020011	38006	2004	PLoS Biology	non RA	Science and Technology Communication for Development	0	0	0	3991	110	39	4140	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020012	38006	2004	PLoS Biology	non RA	In Methuselah's Mould	0	0	0	6804	313	43	7160	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020013	38006	2004	PLoS Biology	non RA	The Proteasome and the Delicate Balance between Destruction and Rescue	2	1	14	8786	978	54	9818	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020014	38006	2004	PLoS Biology	RA	Protein Interaction Networks by Proteome Peptide Scanning	28	21	69	7478	1082	49	8609	1	0	0	0	0	4	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020015	37970	2003	PLoS Biology	RA	Multiple Apoptotic Caspase Cascades Are Required in Nonapoptotic Roles for Drosophila Spermatid Individualization	19	10	56	5481	596	40	6117	0	0	0	0	0	2	1	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020016	38006	2004	PLoS Biology	non RA	A New Gene That Shapes Mouse Pigmentation Patterning	0	0	0	1656	61	28	1745	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020017	37949	2003	PLoS Biology	non RA	"Structure and Implications of JAMM, a Novel Metalloprotease"	0	0	1	1997	89	34	2120	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020018	37970	2003	PLoS Biology	non RA	A Truly Broad View of Gene Expression Spotlights Evolution and Diversity	0	0	0	2269	63	32	2364	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020019	38006	2004	PLoS Biology	non RA	Channelling Evolution	1	1	3	5812	373	34	6219	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020020	38034	2004	PLoS Biology	RA	Immune Activation and CD8+ T-Cell Differentiation towards Senescence in HIV-1 Infection	32	26	101	8971	1129	52	10152	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020021	38006	2004	PLoS Biology	RA	Role of Saccharomyces Single-Stranded DNA-Binding Protein RPA in the Strand Invasion Step of Double-Strand Break Repair	14	11	41	5677	514	44	6235	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020022	38034	2004	PLoS Biology	RA	pRb Inactivation in Mammary Cells Reveals Common Mechanisms for Tumor Initiation and Progression in Divergent Epithelia	7	5	18	5228	660	44	5932	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020023	38006	2004	PLoS Biology	non RA	Mechanism Suggests How HIV Protein Disrupts Immune Cell Migration	2	0	0	2147	98	32	2277	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020024	38006	2004	PLoS Biology	RA	Long-Lasting Novelty-Induced Neuronal Reverberation during Slow-Wave Sleep in Multiple Forebrain Areas	16	10	71	8873	1002	52	9927	0	0	0	0	0	6	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020025	38006	2004	PLoS Biology	non RA	PLoS Biology in Action	0	1	2	5403	106	64	5573	1	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020026	38006	2004	PLoS Biology	non RA	Visualizing Noncentrosomal Microtubules during Spindle Assembly	0	0	0	1251	46	32	1329	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020027	38034	2004	PLoS Biology	non RA	Bridging the Science?Policy Divide	1	1	3	2085	247	40	2372	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020028	38006	2004	PLoS Biology	non RA	"RNAi Therapeutics: How Likely, How Soon?"	8	2	17	24539	1925	99	26563	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020029	38034	2004	PLoS Biology	RA	Functional Bias and Spatial Organization of Genes in Mutational Hot and Cold Regions in the Human Genome	9	14	29	4501	413	41	4955	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020030	38034	2004	PLoS Biology	RA	Lefty Blocks a Subset of TGF? Signals by Antagonizing EGF-CFC Coreceptors	18	6	53	3889	497	45	4431	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pbio.0020031	38034	2004	PLoS Biology	RA	Engineered Biosynthesis of Regioselectively Modified Aromatic Polyketides Using Bimodular Polyketide Synthases	11	3	20	5736	686	42	6464	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
