
<!-- saved from url=(0066)http://72.14.190.127:5984/am/_design/crunch/_list/csv/event_counts -->
<html><head><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"></head><body>doi	pubDate	journal	f1000Factor	backtweetsCount	deliciousCount	facebookShareCount	facebookLikeCount	facebookCommentCount	facebookClickCount	mendeleyReadersCount	almBlogsCount	pdfDownloadsCount	xmlDownloadsCount	htmlDownloadsCount	almCiteULikeCount	almScopusCount	almPubMedCount	almCrossRefCount	plosCommentCount	plosCommentResponsesCount	wikipediaCites
10.1371/journal.pbio.0000028	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	3	0	494	49	4310	1	33	18	13	0	0	0
10.1371/journal.pbio.0000029	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	206	52	2761	0	0	0	0	0	0	0
10.1371/journal.pbio.0000030	2003-10-13T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	188	63	4648	0	0	0	0	0	0	0
10.1371/journal.pbio.0000031	2003-09-15T00:00:00+00:00	pbio	false	0	0	0	0	0	0	1	0	143	61	4304	0	0	0	0	0	0	0
10.1371/journal.pbio.0000032	2003-10-13T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	267	63	6784	0	0	0	0	0	0	0
10.1371/journal.pbio.0000033	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	7	0	710	50	6920	0	131	51	25	0	0	0
10.1371/journal.pbio.0000034	2003-10-13T00:00:00+00:00	pbio	false	0	0	0	0	0	0	2	0	176	78	12296	2	3	2	0	0	0	1
10.1371/journal.pbio.0000035	2003-11-17T00:00:00+00:00	pbio	8	0	0	0	0	0	0	4	0	639	50	5654	0	19	6	5	0	0	0
10.1371/journal.pbio.0000036	2003-10-13T00:00:00+00:00	pbio	false	0	0	0	0	0	0	3	1	784	163	27168	2	21	8	15	0	0	1
10.1371/journal.pbio.0000037	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	13	0	384	45	13297	1	0	0	0	0	0	2
10.1371/journal.pbio.0000038	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	2	0	88	47	2780	0	0	0	0	0	0	0
10.1371/journal.pbio.0000039	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	4	0	970	53	7554	0	2	0	0	0	0	0
10.1371/journal.pbio.0000040	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	1	0	211	52	3945	0	0	0	0	0	0	0
10.1371/journal.pbio.0000041	2003-11-17T00:00:00+00:00	pbio	6	0	0	0	0	0	0	8	0	879	47	7160	0	35	10	9	0	0	0
10.1371/journal.pbio.0000042	2003-10-13T00:00:00+00:00	pbio	false	0	1	3	0	0	0	7	0	4876	162	28507	14	333	29	93	0	0	1
10.1371/journal.pbio.0000043	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	43	44	1911	0	0	0	0	0	0	0
10.1371/journal.pbio.0000044	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	55	45	3449	0	0	0	0	0	0	0
10.1371/journal.pbio.0000045	2003-11-17T00:00:00+00:00	pbio	10	0	0	0	0	0	0	32	2	3620	101	35704	7	355	162	79	0	0	5
10.1371/journal.pbio.0000046	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	12	0	385	49	5016	0	1	0	0	0	0	0
10.1371/journal.pbio.0000047	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	45	44	1734	0	0	0	0	0	0	0
10.1371/journal.pbio.0000048	2003-11-17T00:00:00+00:00	pbio	false	0	1	0	0	0	0	1	0	419	78	10750	1	12	5	1	0	0	0
10.1371/journal.pbio.0000049	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	2	0	242	49	3129	0	0	0	0	0	0	0
10.1371/journal.pbio.0000050	2003-11-17T00:00:00+00:00	pbio	false	0	0	2	0	0	0	7	0	382	52	4894	0	1	0	0	0	0	0
10.1371/journal.pbio.0000051	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	4	0	558	47	4759	0	44	9	8	0	0	0
10.1371/journal.pbio.0000052	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	3	0	697	49	6507	0	33	11	5	0	0	0
10.1371/journal.pbio.0000053	2003-11-17T00:00:00+00:00	pbio	8	0	0	0	0	0	0	6	0	817	57	8440	0	37	16	13	0	0	0
10.1371/journal.pbio.0000054	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	91	42	2502	0	0	0	0	0	0	0
10.1371/journal.pbio.0000055	2003-10-13T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	155	44	4543	0	0	0	0	0	0	0
10.1371/journal.pbio.0000056	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	110	44	2651	0	0	0	0	0	0	0
10.1371/journal.pbio.0000057	2003-11-17T00:00:00+00:00	pbio	false	0	1	0	0	0	0	6	0	179	53	4981	1	2	1	0	0	0	1
10.1371/journal.pbio.0000058	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	15	0	3247	103	27409	10	85	22	14	0	0	1
10.1371/journal.pbio.0000059	2003-10-27T00:00:00+00:00	pbio	false	0	0	0	0	0	0	11	0	1964	75	9848	1	174	41	59	0	0	0
10.1371/journal.pbio.0000060	2003-10-13T00:00:00+00:00	pbio	9	0	0	0	0	0	0	36	0	3505	81	16966	6	319	101	106	0	0	1
10.1371/journal.pbio.0000061	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	176	43	3077	0	0	0	0	0	0	0
10.1371/journal.pbio.0000062	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	106	43	3559	0	0	0	0	0	0	0
10.1371/journal.pbio.0000063	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	76	48	2092	0	0	0	0	0	0	0
10.1371/journal.pbio.0000064	2003-11-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	74	45	2064	0	0	0	0	0	0	0
10.1371/journal.pbio.0000065	2003-12-22T00:00:00+00:00	pbio	6	0	0	0	0	0	0	10	0	1210	59	9492	0	61	10	25	0	0	1
10.1371/journal.pbio.0000066	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	2	0	198	47	4362	0	0	0	0	0	0	0
10.1371/journal.pbio.0000067	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	17	0	1810	53	9411	0	172	53	66	0	0	0
10.1371/journal.pbio.0000068	2003-11-03T00:00:00+00:00	pbio	false	0	0	0	0	0	0	2	0	700	57	6972	0	72	11	27	0	0	0
10.1371/journal.pbio.0000069	2003-11-03T00:00:00+00:00	pbio	false	0	0	0	0	0	0	3	0	695	54	5170	2	117	19	59	0	0	1
10.1371/journal.pbio.0000070	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	135	40	1867	0	1	0	1	0	0	0
10.1371/journal.pbio.0000071	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	2	0	112	41	2462	0	2	1	1	0	0	0
10.1371/journal.pbio.0000072	2003-12-22T00:00:00+00:00	pbio	false	0	0	1	0	0	0	5	0	855	64	6644	0	86	19	21	0	0	0
10.1371/journal.pbio.0000073	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	1	0	181	44	2068	0	0	0	0	0	0	0
10.1371/journal.pbio.0000074	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	7	0	1842	74	14425	4	96	27	24	0	0	0
10.1371/journal.pbio.0000075	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	280	46	3393	0	0	0	0	0	0	0
10.1371/journal.pbio.0000076	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	187	52	2391	0	0	0	0	0	0	0
10.1371/journal.pbio.0000077	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	7	1	761	85	15645	1	1	0	0	0	0	0
10.1371/journal.pbio.0000078	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	2	0	363	55	4326	0	6	3	1	0	0	0
10.1371/journal.pbio.0000079	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	3	0	514	77	9276	0	8	3	0	0	0	1
10.1371/journal.pbio.0000080	2003-12-22T00:00:00+00:00	pbio	9	0	0	0	0	0	0	4	0	590	52	5509	0	39	6	7	0	0	0
10.1371/journal.pbio.0000081	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	168	47	2560	0	0	0	0	0	0	0
10.1371/journal.pbio.0000082	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	6	0	1395	91	11493	0	18	3	2	0	0	2
10.1371/journal.pbio.0000083	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	4	0	893	47	5163	0	171	45	53	0	0	0
10.1371/journal.pbio.0000084	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	204	48	3059	0	0	0	0	0	0	0
10.1371/journal.pbio.0000085	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	102	44	1814	0	0	0	0	0	0	0
10.1371/journal.pbio.0000086	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	3	0	912	46	14709	2	17	3	6	0	0	0
10.1371/journal.pbio.0000087	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	230	45	2777	0	0	0	0	0	0	0
10.1371/journal.pbio.0000088	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	98	46	1255	0	0	0	0	0	0	0
10.1371/journal.pbio.0000089	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	2	0	144	47	3105	0	0	0	0	0	0	0
10.1371/journal.pbio.0000090	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	76	39	1095	0	0	0	0	0	0	0
10.1371/journal.pbio.0000091	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	119	50	2139	0	0	0	0	0	0	0
10.1371/journal.pbio.0000092	2003-12-22T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	93	45	1101	0	0	0	0	0	0	0
10.1371/journal.pbio.0020001	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	1	0	439	40	9722	0	25	0	24	0	0	0
10.1371/journal.pbio.0020002	2003-11-24T00:00:00+00:00	pbio	false	0	0	0	0	0	0	4	0	761	39	6463	0	59	17	14	0	0	3
10.1371/journal.pbio.0020003	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	3	0	464	39	4493	0	26	7	20	0	0	0
10.1371/journal.pbio.0020004	2004-01-20T00:00:00+00:00	pbio	6	0	0	0	0	0	0	3	0	647	45	6237	0	73	18	26	0	0	0
10.1371/journal.pbio.0020005	2004-01-20T00:00:00+00:00	pbio	8	0	0	2	0	0	2	20	0	1816	84	15428	1	105	28	53	0	0	2
10.1371/journal.pbio.0020006	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	8	0	529	43	4935	0	48	16	5	0	0	3
10.1371/journal.pbio.0020007	2004-01-13T00:00:00+00:00	pbio	false	0	0	0	0	0	0	28	0	3369	112	22819	2	278	104	78	0	0	0
10.1371/journal.pbio.0020008	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	4	0	462	40	5705	0	34	12	9	0	0	0
10.1371/journal.pbio.0020009	2003-12-15T00:00:00+00:00	pbio	false	0	0	0	0	0	0	39	0	1830	60	16180	16	116	62	25	0	0	0
10.1371/journal.pbio.0020010	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	60	40	2151	0	0	0	2	0	0	0
10.1371/journal.pbio.0020011	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	3	0	122	41	4219	0	0	0	0	0	0	0
10.1371/journal.pbio.0020012	2004-01-20T00:00:00+00:00	pbio	false	0	1	1	0	0	0	3	0	370	57	7796	0	0	0	1	0	0	0
10.1371/journal.pbio.0020013	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	2	0	1068	56	9162	1	16	2	3	0	0	1
10.1371/journal.pbio.0020014	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	12	1	1221	49	7933	4	77	26	31	0	0	0
10.1371/journal.pbio.0020015	2003-12-15T00:00:00+00:00	pbio	7	0	0	0	0	0	0	8	0	658	41	5708	2	63	16	19	0	0	0
10.1371/journal.pbio.0020016	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	70	30	1700	0	0	0	0	0	0	0
10.1371/journal.pbio.0020017	2003-11-24T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	100	35	2033	0	1	0	0	0	0	0
10.1371/journal.pbio.0020018	2003-12-15T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	70	34	2297	1	0	0	0	0	0	0
10.1371/journal.pbio.0020019	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	3	0	400	35	5938	1	3	1	1	0	0	0
10.1371/journal.pbio.0020020	2004-02-17T00:00:00+00:00	pbio	false	0	0	1	0	0	0	10	0	1311	52	9909	0	116	33	34	0	0	0
10.1371/journal.pbio.0020021	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	8	0	575	47	6039	0	45	13	17	0	0	0
10.1371/journal.pbio.0020022	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	7	0	716	41	5503	0	20	6	9	0	0	1
10.1371/journal.pbio.0020023	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	108	36	2251	0	0	0	2	0	0	0
10.1371/journal.pbio.0020024	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	3	0	1118	52	9482	6	82	11	17	0	0	1
10.1371/journal.pbio.0020025	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	4	1	115	65	5586	1	2	1	0	0	0	1
10.1371/journal.pbio.0020026	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	53	34	1291	0	0	0	0	0	0	0
10.1371/journal.pbio.0020027	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	2	0	286	42	2224	0	3	1	1	0	0	0
10.1371/journal.pbio.0020028	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	3	0	2055	98	25531	0	18	2	8	0	0	0
10.1371/journal.pbio.0020029	2004-02-17T00:00:00+00:00	pbio	6	0	0	0	0	0	0	10	0	460	36	4667	1	33	16	11	0	0	0
10.1371/journal.pbio.0020030	2004-02-17T00:00:00+00:00	pbio	6	0	0	0	0	0	0	5	0	547	40	4061	0	58	8	20	0	0	0
10.1371/journal.pbio.0020031	2004-02-17T00:00:00+00:00	pbio	10	0	0	0	0	0	0	4	0	776	44	6030	0	21	6	12	0	0	0
10.1371/journal.pbio.0020032	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	126	36	2167	0	0	0	2	0	0	0
10.1371/journal.pbio.0020033	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	1	0	555	55	8789	0	0	0	0	0	0	0
10.1371/journal.pbio.0020034	2003-12-15T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	98	33	2278	0	0	0	0	0	0	0
10.1371/journal.pbio.0020035	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	7	0	661	35	5778	1	7	2	4	0	0	0
10.1371/journal.pbio.0020036	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	7	0	912	45	11720	1	75	10	27	0	0	0
10.1371/journal.pbio.0020037	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	363	41	6364	0	0	0	0	0	0	0
10.1371/journal.pbio.0020038	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	60	33	1567	0	0	0	0	0	0	0
10.1371/journal.pbio.0020039	2004-01-13T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	276	41	4275	0	0	0	0	0	0	0
10.1371/journal.pbio.0020040	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	2	0	251	41	3640	0	6	0	3	0	0	0
10.1371/journal.pbio.0020041	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	268	47	7272	0	0	0	0	0	0	0
10.1371/journal.pbio.0020042	2004-03-16T00:00:00+00:00	pbio	false	0	0	0	0	0	0	3	0	424	41	5469	2	52	23	13	0	0	0
10.1371/journal.pbio.0020043	2004-03-16T00:00:00+00:00	pbio	false	0	0	0	0	3	0	10	0	351	40	8123	0	3	0	4	0	0	0
10.1371/journal.pbio.0020044	2004-02-17T00:00:00+00:00	pbio	6	0	0	0	0	0	0	12	0	565	44	4807	1	52	2	11	0	0	0
10.1371/journal.pbio.0020045	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	17	0	425	33	3530	2	24	4	3	0	0	0
10.1371/journal.pbio.0020046	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	9	0	1680	82	21989	0	19	3	4	0	0	0
10.1371/journal.pbio.0020047	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	1	0	103	37	2165	0	0	0	0	0	0	0
10.1371/journal.pbio.0020048	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	3	0	84	43	3067	0	0	0	3	0	0	1
10.1371/journal.pbio.0020049	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	15	0	1262	51	8357	8	47	16	16	0	0	0
10.1371/journal.pbio.0020050	2004-03-16T00:00:00+00:00	pbio	false	0	0	0	0	0	0	6	0	458	45	3847	0	28	5	5	0	0	0
10.1371/journal.pbio.0020051	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	132	31	3088	0	0	0	0	0	0	0
10.1371/journal.pbio.0020052	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	6	0	1336	65	10226	1	19	3	10	0	0	0
10.1371/journal.pbio.0020053	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	4	0	817	58	15731	1	1	0	0	0	0	0
10.1371/journal.pbio.0020054	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	6	0	230	39	5210	0	0	0	0	0	0	0
10.1371/journal.pbio.0020055	2004-03-16T00:00:00+00:00	pbio	false	0	0	0	0	0	0	15	0	684	43	4525	2	64	26	16	0	0	0
10.1371/journal.pbio.0020056	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	99	44	3141	0	0	0	0	0	0	0
10.1371/journal.pbio.0020057	2004-03-16T00:00:00+00:00	pbio	6	0	0	3	0	0	0	26	0	3317	110	31588	2	106	25	52	0	0	6
10.1371/journal.pbio.0020058	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	285	57	3753	0	0	0	0	0	0	0
10.1371/journal.pbio.0020059	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	304	37	3887	0	0	0	1	0	0	0
10.1371/journal.pbio.0020060	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	53	28	1268	0	0	0	0	0	0	0
10.1371/journal.pbio.0020061	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	60	29	1958	0	0	0	0	0	0	0
10.1371/journal.pbio.0020062	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	41	31	2521	0	0	0	0	0	0	0
10.1371/journal.pbio.0020063	2004-02-17T00:00:00+00:00	pbio	false	0	0	0	0	0	0	2	0	67	39	10798	0	0	0	0	0	0	1
10.1371/journal.pbio.0020064	2004-03-16T00:00:00+00:00	pbio	false	0	0	2	0	0	0	3	1	1204	132	34117	0	4	0	2	1	0	0
10.1371/journal.pbio.0020065	2004-03-16T00:00:00+00:00	pbio	false	0	0	0	0	0	0	8	0	329	46	5519	0	14	3	4	0	0	0
10.1371/journal.pbio.0020066	2004-02-17T00:00:00+00:00	pbio	false	0	0	1	0	0	0	0	0	118	31	1664	0	0	0	0	0	0	0
10.1371/journal.pbio.0020067	2004-03-16T00:00:00+00:00	pbio	false	0	0	1	0	0	0	0	0	110	40	2969	0	0	0	0	0	0	0
10.1371/journal.pbio.0020068	2004-03-16T00:00:00+00:00	pbio	false	0	0	0	0	0	0	17	0	1283	55	10348	0	21	5	11	0	0	3
10.1371/journal.pbio.0020069	2004-03-16T00:00:00+00:00	pbio	false	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	2
10.1371/journal.pbio.0020070	2004-03-16T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	158	38	2589	0	0	0	0	0	0	0
10.1371/journal.pbio.0020071	2004-03-16T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	223	36	3198	0	0	0	0	0	0	0
10.1371/journal.pbio.0020072	2004-03-16T00:00:00+00:00	pbio	false	0	0	0	0	0	0	5	0	84	36	1378	0	1	0	1	0	0	0
10.1371/journal.pbio.0020073	2004-03-16T00:00:00+00:00	pbio	false	0	0	0	0	0	0	4	0	509	59	6878	0	0	0	1	0	0	5
10.1371/journal.pbio.0020074	2004-01-20T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	163	44	2830	0	0	0	14	0	0	0
10.1371/journal.pbio.0020075	2004-03-16T00:00:00+00:00	pbio	false	0	0	0	0	0	0	8	0	1102	51	8649	0	50	11	16	0	0	0
10.1371/journal.pbio.0020076	2004-03-16T00:00:00+00:00	pbio	false	0	0	1	0	0	0	0	0	449	49	4650	0	1	0	1	0	0	0
10.1371/journal.pbio.0020077	2004-03-16T00:00:00+00:00	pbio	10	0	0	0	0	0	0	13	0	333	38	2846	3	20	4	6	0	0	0
10.1371/journal.pbio.0020078	2004-03-16T00:00:00+00:00	pbio	10	0	0	0	0	0	0	6	0	549	40	5031	0	67	15	25	0	0	0
10.1371/journal.pbio.0020079	2004-03-16T00:00:00+00:00	pbio	15	0	0	0	0	0	0	23	1	2129	68	10465	2	173	77	58	0	0	1
10.1371/journal.pbio.0020080	2004-03-16T00:00:00+00:00	pbio	false	0	0	0	0	0	0	1	0	214	43	5919	0	0	0	0	0	0	0
10.1371/journal.pbio.0020081	2004-04-13T00:00:00+00:00	pbio	false	0	0	0	0	0	0	6	0	454	50	3971	0	7	3	0	0	0	0
10.1371/journal.pbio.0020082	2004-03-16T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	487	61	4095	0	0	0	0	0	0	0
10.1371/journal.pbio.0020083	2004-03-16T00:00:00+00:00	pbio	false	0	0	0	0	0	0	1	0	89	37	2368	0	0	0	0	0	0	0
10.1371/journal.pbio.0020084	2004-03-16T00:00:00+00:00	pbio	false	0	0	0	0	0	0	0	0	95	38	2309	0	0	0	0	0	0	0
