DOI	Publication Date	Days Since Aug 2009	PMID	Publication Year	Journal	'Research Article' or 'non-Research Article'?	Article Title	Citations - CrossRef	Citations - PubMed Central	Citations - Scopus	Total HTML Page Views	Total PDF Downloads	Total XML Downloads	Combined Usage (HTML + PDF + XML)	Blog Coverage - Postgenomic	Blog Coverage - Nature Blogs	Blog Coverage - Bloglines	Number of Trackbacks	Social Bookmarking - CiteULike	Social Bookmarking - Connotea	Number of Ratings	Average Rating	Number of Note threads	Number of replies to Notes	Number of Comment threads	Number of replies to Comments	Number of 'Star Ratings' that also include a text comment
10.1371/journal.pone.0003709	11/12/08	262	19002264	2008	PLoS ONE	RA	Human Sclera Maintains Common Characteristics with Cartilage throughout Evolution	1	2	1	630	98	7	735	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0003681	11/10/08	264	18997861	2008	PLoS ONE	RA	Rickettsia conorii Transcriptional Response within Inoculation Eschar	0	0	1	738	87	4	829	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0003669	11/7/08	267	18989361	2008	PLoS ONE	RA	Mecp2-Null Mice Provide New Neuronal Targets for Rett Syndrome	3	1	4	1073	373	7	1453	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0003652	11/6/08	268	18987751	2008	PLoS ONE	RA	A miRNA Signature of Prion Induced Neurodegeneration	2	0	2	1854	691	11	2556	0	0	0	0	3	0	0	0	0	0	0	0	0
10.1371/journal.pone.0003541	10/28/08	277	18958153	2008	PLoS ONE	RA	"Quorum Sensing Primes the Oxidative Stress Response in the Insect Endosymbiont, Sodalis glossinidius"	0	0	0	788	168	7	963	1	0	0	1	0	0	0	0	0	0	1	0	0
10.1371/journal.pone.0003534	10/27/08	278	18953412	2008	PLoS ONE	RA	Cdx1 and c-Myc Foster the Initiation of Transdifferentiation of the Normal Esophageal Squamous Epithelium toward Barrett's Esophagus	1	0	1	509	154	5	668	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0003521	10/27/08	278	18953406	2008	PLoS ONE	RA	"OsLIC, a Novel CCCH-Type Zinc Finger Protein with Transcription Activation, Mediates Rice Architecture via Brassinosteroids Signaling"	0	0	0	711	212	7	930	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pntd.0000323	10/22/08	283	18941520	2008	PLoS Neglected Tropical Diseases	RA	"Use of Genomic DNA as an Indirect Reference for Identifying Gender-Associated Transcripts in Morphologically Identical, but Chromosomally Distinct, Schistosoma mansoni Cercariae"	0	0	0	486	82	6	574	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0003474	10/22/08	283	18941512	2008	PLoS ONE	RA	Transcriptional and Functional Profiling of Human Embryonic Stem Cell-Derived Cardiomyocytes	4	0	3	1298	488	19	1805	0	0	0	0	0	1	0	0	0	0	1	0	0
10.1371/journal.pone.0003415	10/15/08	290	18923679	2008	PLoS ONE	RA	Gene Expression Profiling of Two Distinct Neuronal Populations in the Rodent Spinal Cord	0	0	0	538	172	2	712	0	0	0	0	0	0	1	4.3	0	0	0	0	0
10.1371/journal.pntd.0000130	1/9/08	570	18235850	2008	PLoS Neglected Tropical Diseases	RA	"Transcriptional Changes in the Hookworm, Ancylostoma caninum, during the Transition from a Free-Living to a Parasitic Larva"	1	3	9	1681	243	10	1934	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0001502	1/30/08	549	18231589	2008	PLoS ONE	RA	The Enduring Hypoxic Response of Mycobacterium tuberculosis	7	5	17	1771	601	27	2399	0	0	0	0	0	0	0	0	0	0	2	0	0
10.1371/journal.pone.0001479	1/23/08	556	18213387	2008	PLoS ONE	RA	Genomewide Expression Analysis in Zebrafish mind bomb Alleles with Pancreas Defects of Different Severity Identifies Putative Notch Responsive Genes	2	0	2	1392	348	158	1898	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0040010	1/18/08	561	18208333	2008	PLoS Genetics	RA	TERT Promotes Epithelial Proliferation through Transcriptional Control of a Myc- and Wnt-Related Developmental Program	7	1	6	2270	922	17	3209	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pone.0001404	1/2/08	577	18167563	2008	PLoS ONE	RA	Genome-Wide Expression Analysis of a Spinal Muscular Atrophy Model: Towards Discovery of New Drug Targets	1	1	1	825	225	25	1075	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0001403	1/2/08	577	18167562	2008	PLoS ONE	RA	Probing Host Pathogen Cross-Talk by Transcriptional Profiling of Both Mycobacterium tuberculosis and Infected Human Dendritic Cells and Macrophages	1	2	3	1913	685	26	2624	0	0	0	0	0	0	0	0	2	0	1	0	0
10.1371/journal.pone.0001385	1/2/08	577	18167544	2008	PLoS ONE	RA	Sex-Related Differences in Gene Expression in Human Skeletal Muscle	0	2	1	1127	307	18	1452	0	0	0	0	0	0	1	3	0	0	0	0	1
10.1371/journal.pone.0001344	12/19/07	591	18094752	2007	PLoS ONE	RA	Adipose Gene Expression Prior to Weight Loss Can Differentiate and Weakly Predict Dietary Responders	2	0	2	818	173	302	1293	0	0	0	0	0	0	0	0	1	0	0	0	0
10.1371/journal.pbio.0050326	12/11/07	599	18076287	2007	PLoS Biology	RA	Dosage Compensation in the Mouse Balances Up-Regulation and Silencing of X-Linked Genes	8	5	8	2444	786	30	3260	1	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pone.0001303	12/12/07	598	18074027	2007	PLoS ONE	RA	Clustered Gene Expression Changes Flank Targeted Gene Loci in Knockout Mice	1	0	3	880	177	15	1072	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pone.0001293	12/12/07	598	18074017	2007	PLoS ONE	RA	Monoallelic Expression of Multiple Genes in the CNS	1	0	4	1087	308	12	1407	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0001291	12/12/07	598	18074016	2007	PLoS ONE	RA	Modulation of Bacterial Type III Secretion System by a Spermidine Transporter Dependent Signaling Pathway	0	1	1	870	172	12	1054	0	0	0	0	0	0	0	0	0	0	1	0	0
10.1371/journal.pntd.0000086	11/7/07	633	18060089	2007	PLoS Neglected Tropical Diseases	RA	Host Gene Expression Profiling of Dengue Virus Infection in Cell Lines and Patients	7	1	9	2672	798	23	3493	0	0	0	0	1	0	0	0	1	0	0	0	0
10.1371/journal.pgen.0030216	11/23/07	617	18039034	2007	PLoS Genetics	RA	Genomic and Functional Studies of Drosophila Sex Hierarchy Regulated Gene Expression in Adult Head and Nervous System Tissues	0	3	2	1730	469	16	2215	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pone.0001226	11/21/07	619	18030354	2007	PLoS ONE	RA	Transcriptional Profiling of Non-Small Cell Lung Cancer Cells with Activating EGFR Somatic Mutations	1	2	2	1045	317	32	1394	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0001203	11/21/07	619	18030337	2007	PLoS ONE	RA	Microarray Expression Profiles of 20.000 Genes across 23 Healthy Porcine Tissues	0	3	3	759	175	16	950	0	0	0	0	1	1	0	0	0	0	0	0	0
10.1371/journal.pgen.0030209	11/16/07	624	18020713	2007	PLoS Genetics	RA	"POF and HP1 Bind Expressed Exons, Suggesting a Balancing Mechanism for Gene Regulation"	1	4	5	1280	434	4	1718	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0001187	11/14/07	626	18000554	2007	PLoS ONE	RA	Gene Expression in Human Hippocampus from Cocaine Abusers Identifies Genes which Regulate Extracellular Matrix Remodeling	4	1	4	3455	361	27	3843	2	0	0	1	2	0	0	0	0	0	1	0	0
10.1371/journal.pone.0001186	11/14/07	626	18000553	2007	PLoS ONE	RA	Rapid Changes in Gene Expression Dynamics in Response to Superoxide Reveal SoxRS-Dependent and Independent Transcriptional Networks	4	4	6	933	287	29	1249	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0030188	11/9/07	631	17997606	2007	PLoS Genetics	RA	Unexpected Novel Relational Links Uncovered by Extensive Developmental Profiling of Nuclear Receptor Expression	2	2	7	1961	701	13	2675	0	0	0	0	0	0	0	0	1	0	0	0	0
10.1371/journal.pone.0001151	11/7/07	633	17987128	2007	PLoS ONE	RA	Gene Expression Analysis of In Vivo Fluorescent Cells	1	1	1	1484	316	40	1840	0	0	0	0	0	0	0	0	0	0	2	0	0
10.1371/journal.ppat.0030158	10/26/07	645	17967061	2007	PLoS Pathogens	RA	Contrasting Infection Strategies in Generalist and Specialist Wasp Parasitoids of Drosophila melanogaster	0	1	4	1240	317	12	1569	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pone.0001064	10/24/07	647	17957248	2007	PLoS ONE	RA	Microarray Analysis in the Archaeon Halobacterium salinarum Strain R1	3	6	9	1028	183	43	1254	0	0	0	0	0	0	1	5	0	0	0	0	0
10.1371/journal.pgen.0030172	10/19/07	652	17953483	2007	PLoS Genetics	RA	Mechanical Stress Induces Biotic and Abiotic Stress Responses via a Novel cis-Element	2	4	12	3690	1153	34	4877	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0030171	10/12/07	659	17937500	2007	PLoS Genetics	RA	"Genome-Wide Expression Profiling of the Arabidopsis Female Gametophyte Identifies Families of Small, Secreted Proteins"	3	4	14	2872	1077	18	3967	0	0	0	0	1	1	0	0	0	0	0	0	0
10.1371/journal.pone.0001020	10/10/07	661	17925868	2007	PLoS ONE	RA	"miRNA Profiling of Na?ve, Effector and Memory CD8 T Cells"	14	10	34	3833	1634	62	5529	0	0	0	1	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0000945	9/26/07	675	17895986	2007	PLoS ONE	RA	Transcriptional Program Induced by Wnt Protein in Human Fibroblasts Suggests Mechanisms for Cell Cooperativity in Defining Tissue Microenvironments	4	4	9	2581	690	36	3307	0	0	0	0	0	0	2	5	0	0	1	0	0
10.1371/journal.pone.0000924	9/26/07	675	17895966	2007	PLoS ONE	RA	Identification of Upper Respiratory Tract Pathogens Using Electrochemical Detection on an Oligonucleotide Microarray	1	1	6	1481	353	480	2314	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0000913	9/19/07	682	17878948	2007	PLoS ONE	RA	Experimental Comparison and Evaluation of the Affymetrix Exon and U133Plus2 GeneChip Arrays	2	1	5	1696	470	10	2176	0	0	0	0	2	0	1	4.7	0	0	0	0	0
10.1371/journal.pone.0000811	8/29/07	703	17726541	2007	PLoS ONE	RA	Host Transcript Accumulation during Lytic KSHV Infection Reveals Several Classes of Host Responses	0	2	2	905	194	50	1149	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0000804	8/29/07	703	17726534	2007	PLoS ONE	RA	Detection of a MicroRNA Signal in an In Vivo Expression Set of mRNAs	2	4	7	2474	1008	103	3585	0	0	0	0	4	1	0	0	0	0	2	0	0
10.1371/journal.pgen.0030137	8/17/07	715	17708683	2007	PLoS Genetics	RA	Maintenance of Paternal Methylation and Repression of the Imprinted H19 Gene Requires MBD3	2	1	2	1575	752	16	2343	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pbio.0050201	7/24/07	739	17676974	2007	PLoS Biology	RA	Aging Hematopoietic Stem Cells Decline in Function and Exhibit Epigenetic Dysregulation	24	9	5	7597	2447	72	10116	0	0	0	0	2	0	0	0	0	0	0	0	0
10.1371/journal.pone.0000648	7/25/07	738	17653275	2007	PLoS ONE	RA	Phenotypic Diversity and Altered Environmental Plasticity in Arabidopsis thaliana with Reduced Hsp90 Levels	7	2	11	1434	407	62	1903	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0000610	7/11/07	752	17622355	2007	PLoS ONE	RA	MicroRNAs: Novel Regulators Involved in the Pathogenesis of Psoriasis?	13	8	0	4050	1305	599	5954	0	0	0	0	1	0	0	0	3	0	0	0	0
10.1371/journal.pcbi.0030132	7/6/07	757	17616984	2007	PLoS Computational Biology	RA	Novel Algorithms Reveal Streptococcal Transcriptomes and Clues about Undefined Genes	0	0	1	963	285	9	1257	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pone.0000594	7/4/07	759	17611626	2007	PLoS ONE	RA	Comprehensive Expression Profiling of Tumor Cell Lines Identifies Molecular Signatures of Melanoma Progression	13	8	19	3068	787	60	3915	0	0	0	0	1	1	0	0	1	0	2	0	0
10.1371/journal.ppat.0030087	6/22/07	771	17590082	2007	PLoS Pathogens	RA	Transcriptional Regulation of Multi-Drug Tolerance and Antibiotic-Induced Responses by the Histone-Like Protein Lsr2 in M. tuberculosis	4	4	3	1826	660	21	2507	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.ppat.0030083	6/22/07	771	17590080	2007	PLoS Pathogens	RA	Gene Expression Profiles of Chlamydophila pneumoniae during the Developmental Cycle and Iron Depletionâ€“Mediated Persistence	2	3	1	1250	387	17	1654	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0030101	6/15/07	778	17571927	2007	PLoS Genetics	RA	Laser Microdissection of Narrow Sheath Mutant Maize Uncovers Novel Gene Expression in the Shoot Apical Meristem	0	0	2	1759	646	23	2428	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.ppat.0030084	6/15/07	778	17571921	2007	PLoS Pathogens	RA	Twin RNA Polymeraseâ€“Associated Proteins Control Virulence Gene Expression in Francisella tularensis	6	8	12	1561	417	17	1995	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0000525	6/13/07	780	17565378	2007	PLoS ONE	RA	Large Scale Gene Expression Profiles of Regenerating Inner Ear Sensory Epithelia	5	3	0	2757	413	108	3278	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0030091	6/8/07	785	17559306	2007	PLoS Genetics	RA	A Transcriptional Program Mediating Entry into Cellular Quiescence	3	1	4	2044	805	30	2879	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0030087	6/1/07	792	17542648	2007	PLoS Genetics	RA	Whole-Genome Cartography of Estrogen Receptor Î± Binding Sites	15	20	42	3801	1481	43	5325	0	0	0	0	5	0	0	0	1	0	0	0	0
10.1371/journal.pone.0000473	5/30/07	794	17534423	2007	PLoS ONE	RA	Endothelial Cells' Activation and Apoptosis Induced by a Subset of Antibodies against Human Cytomegalovirus: Relevance to the Pathogenesis of Atherosclerosis	3	0	4	1315	359	46	1720	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0030078	5/25/07	799	17530925	2007	PLoS Genetics	RA	p53 Activation by Knockdown Technologies	22	15	26	3997	1815	36	5848	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pmed.0040176	5/8/07	816	17488182	2007	PLoS Medicine	RA	Down-Regulation of the Interferon Signaling Pathway in T Lymphocytes from Patients with Metastatic Melanoma	4	2	4	2635	973	35	3643	1	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0000430	5/9/07	815	17487278	2007	PLoS ONE	RA	ATM-Mediated Transcriptional and Developmental Responses to ?-rays in Arabidopsis	1	1	4	1910	330	67	2307	0	0	0	0	0	0	0	0	0	0	1	0	0
10.1371/journal.pmed.0040158	5/1/07	823	17472435	2007	PLoS Medicine	RA	TXNIP Regulates Peripheral Glucose Metabolism in Humans	6	5	22	3766	1422	53	5241	1	0	0	0	1	0	0	0	0	0	2	0	0
10.1371/journal.pbio.0050117	4/24/07	830	17456005	2007	PLoS Biology	RA	Unmasking Activation of the Zygotic Genome Using Chromosomal Deletions in the Drosophila Embryo	6	9	5	3415	1266	38	4719	0	0	0	0	4	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0030059	4/20/07	834	17447843	2007	PLoS Genetics	RA	Conservation of Regional Gene Expression in Mouse and Human Brain	1	3	4	1969	802	20	2791	1	0	0	0	10	1	0	0	0	0	0	0	0
10.1371/journal.pmed.0040122	4/10/07	844	17425403	2007	PLoS Medicine	RA	Signature-Based Small Molecule Screening Identifies Cytosine Arabinoside as an EWS/FLI Modulator in Ewing Sarcoma	12	6	17	2807	1146	52	4005	0	0	0	0	2	0	0	0	0	0	1	0	0
10.1371/journal.pmed.0040106	4/3/07	851	17407386	2007	PLoS Medicine	RA	Gene Expression Signatures That Predict Radiation Exposure in Mice and Humans	5	3	5	2452	839	30	3321	1	0	0	0	1	2	0	0	0	0	0	0	0
10.1371/journal.pone.0000323	3/28/07	857	17389914	2007	PLoS ONE	RA	"Gene Expression Patterns in Pancreatic Tumors, Cells and Tissues"	0	3	8	2455	506	45	3006	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pmed.0040023	1/30/07	914	17378698	2007	PLoS Medicine	RA	Prediction of Graft-Versus-Host Disease in Humans by Donor Gene-Expression Profiling	4	4	11	3107	868	53	4028	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0000310	3/21/07	864	17375196	2007	PLoS ONE	RA	Genes Involved in the Balance between Neuronal Survival and Death during Inflammation	2	0	5	1616	380	36	2032	0	0	0	0	0	0	0	0	1	0	0	0	0
10.1371/journal.pone.0000294	3/14/07	871	17372628	2007	PLoS ONE	RA	Global Identification and Characterization of Transcriptionally Active Regions in the Rice Genome	7	8	14	2048	365	25	2438	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pbio.0050002	12/12/06	963	17326724	2006	PLoS Biology	RA	Impaired Genome Maintenance Suppresses the Growth Hormone?Insulin-Like Growth Factor 1 Axis in Mice with Cockayne Syndrome	11	18	20	3718	1068	53	4839	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0000242	2/21/07	892	17311107	2007	PLoS ONE	RA	Epigenetic Activation of a Subset of mRNAs by eIF4E Explains Its Effects on Cell Proliferation	12	15	30	6760	689	51	7500	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pbio.0050008	1/9/07	935	17214507	2007	PLoS Biology	RA	Large-Scale Mapping and Validation of Escherichia coli Transcriptional Regulation from a Compendium of Expression Profiles	38	43	55	9512	3471	86	13069	0	0	0	0	10	0	0	0	0	0	0	0	0
10.1371/journal.pone.0000145	1/3/07	941	17206280	2007	PLoS ONE	RA	Heterologous Tissue Culture Expression Signature Predicts Human Breast Cancer Prognosis	2	0	1	22774	347	24	23145	2	0	0	0	3	0	0	0	0	0	0	0	0
10.1371/journal.pone.0000116	12/27/06	948	17205120	2006	PLoS ONE	RA	MiRNA-Directed Regulation of VEGF and Other Angiogenic Factors under Hypoxia	16	10	41	7063	1361	139	8563	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0000114	12/27/06	948	17205118	2006	PLoS ONE	RA	"Transcriptional Changes Common to Human Cocaine, Cannabis and Phencyclidine Abuse"	4	4	9	13583	445	74	14102	2	0	0	0	0	0	0	0	0	0	1	0	0
10.1371/journal.pone.0000006	12/20/06	955	17183690	2006	PLoS ONE	RA	"Establishing Clonal Cell Lines with Endothelial-Like Potential from CD9hi, SSEA-1? Cells in Embryonic Stem Cell-Derived Embryoid Bodies"	1	1	5	4522	243	49	4814	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pone.0000057	12/20/06	955	17183687	2006	PLoS ONE	RA	Genes from Chagas Susceptibility Loci That Are Differentially Expressed in T. cruzi-Resistant Mice Are Candidates Accounting for Impaired Immunity	0	0	1	14439	158	57	14654	1	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pone.0000032	12/20/06	955	17183660	2006	PLoS ONE	RA	A Mouse Stromal Response to Tumor Invasion Predicts Prostate and Breast Cancer Patient Survival	6	0	9	6552	421	59	7032	0	0	0	0	3	0	0	0	0	0	0	0	0
10.1371/journal.pone.0000026	12/20/06	955	17183653	2006	PLoS ONE	RA	Dissecting Oct3/4-Regulated Gene Networks in Embryonic Stem Cells by Expression Profiling	12	10	24	19918	998	53	20969	1	0	0	0	3	0	0	0	0	0	0	0	0
10.1371/journal.ppat.0020132	12/15/06	960	17173481	2006	PLoS Pathogens	RA	Dynamics of the Cellular Metabolome during Human Cytomegalovirus Infection	2	1	5	2204	754	34	2992	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020203	11/24/06	981	17166056	2006	PLoS Genetics	RA	Impact of Nonsense-Mediated mRNA Decay on the Global Expression Profile of Budding Yeast	5	8	12	2170	746	14	2930	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020210	12/1/06	974	17140289	2006	PLoS Genetics	RA	Natural Variants of AtHKT1 Enhance Na+ Accumulation in Two Wild Populations of Arabidopsis	9	5	10	2087	834	16	2937	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020183	11/10/06	995	17096597	2006	PLoS Genetics	RA	p38 MAPK Regulates Expression of Immune Response Genes and Contributes to Longevity in C. elegans	13	20	17	3387	1366	51	4804	0	0	0	0	4	0	0	0	0	0	0	0	0
10.1371/journal.ppat.0020105	10/27/06	1009	17069459	2006	PLoS Pathogens	RA	Changes in the Expression of Human Cell Division Autoantigen-1 Influence Toxoplasma gondii Growth and Development	5	5	14	1026	366	18	1410	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pbio.0040351	10/17/06	1019	17048990	2006	PLoS Biology	RA	Ammonium Toxicity and Potassium Limitation in Yeast	3	5	9	3178	952	44	4174	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020159	9/29/06	1037	17009876	2006	PLoS Genetics	RA	Evidence for Diversity in Transcriptional Profiles of Single Hematopoietic Stem Cells	4	2	1	1589	803	16	2408	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020152	9/29/06	1037	17009874	2006	PLoS Genetics	RA	Analysis of Pleiotropic Transcriptional Profiles: A Case Study of DNA Gyrase Inhibition	0	3	5	971	349	13	1333	0	0	0	0	0	1	0	0	0	0	0	0	0
10.1371/journal.pgen.0020140	9/8/06	1058	16965178	2006	PLoS Genetics	RA	Designing siRNA That Distinguish between Genes That Differ by a Single Nucleotide	32	12	0	4815	2719	44	7578	0	0	0	0	2	2	0	0	0	0	0	0	0
10.1371/journal.pgen.0020130	8/18/06	1079	16934000	2006	PLoS Genetics	RA	Integrating Genetic and Network Analysis to Characterize Genes Related to Mouse Weight	15	21	22	5146	2063	32	7241	0	0	0	0	12	5	0	0	0	0	0	0	0
10.1371/journal.ppat.0020082	8/25/06	1072	16933989	2006	PLoS Pathogens	RA	Integrated Regulation of the Type III Secretion System and Other Virulence Determinants in Ralstonia solanacearum	7	5	14	1862	732	23	2617	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020119	7/28/06	1100	16895450	2006	PLoS Genetics	RA	Anatomic Demarcation by Positional Variation in Fibroblast Gene Expression Programs	29	8	14	4906	1706	41	6653	0	0	0	0	4	0	0	0	0	0	1	0	0
10.1371/journal.pbio.0040260	8/1/06	1096	16869712	2006	PLoS Biology	RA	Gene Expression Analysis of Zebrafish Heart Regeneration	9	6	23	5515	2167	89	7771	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pcbi.0020089	7/21/06	1107	16854212	2006	PLoS Computational Biology	RA	Extracting Gene Networks for Low-Dose Radiation Using Graph Theoretical Algorithms	5	6	6	2271	803	28	3102	0	0	0	0	3	0	0	0	0	0	0	0	0
10.1371/journal.ppat.0020052	6/9/06	1149	16789837	2006	PLoS Pathogens	RA	Anopheles gambiae Immune Responses to Human and Rodent Plasmodium Parasite Species	15	22	28	2993	1077	36	4106	0	0	0	0	2	0	0	0	0	0	0	0	0
10.1371/journal.ppat.0020059	6/23/06	1135	16789836	2006	PLoS Pathogens	RA	Host-Specific Response to HCV Infection in the Chimeric SCID-beige/Alb-uPA Mouse Model: Role of the Innate Antiviral Immune Response	4	2	7	1690	621	29	2340	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pmed.0030169	6/13/06	1145	16768543	2006	PLoS Medicine	RA	"Labor-Associated Gene Expression in the Human Uterine Fundus, Lower Segment, and Cervix"	7	4	7	1770	390	23	2183	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020051	4/7/06	1212	16604156	2006	PLoS Genetics	RA	Genome-Wide Analysis of Menin Binding Provides Insights into MEN1 Tumorigenesis	21	13	19	3651	1597	53	5301	0	0	0	0	2	0	0	0	0	0	0	0	0
10.1371/journal.pcbi.0020004	1/20/06	1289	16424921	2006	PLoS Computational Biology	RA	Unusual Intron Conservation near Tissue-Regulated Exons Found by Splicing Microarrays	17	31	47	4205	1645	31	5881	0	0	0	0	1	1	0	0	0	0	0	0	0
