Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Publisher,ISSN,ISBN,CODEN,DOI,PubMed ID,Abbreviated Source Title,Document Type,Source
"Habig K., Walter M., Poths S., Riess O., Bonin M.",RNA interference of LRRK2-microarray expression analysis of a Parkinson's disease key player,2008,Neurogenetics,9,2,,83,94,,12,http://www.scopus.com/inward/record.url?eid=2-s2.0-42149172511&partnerID=40&md5=088964bcce14a3ed525160e4a4dbc07b,,13646745,,NEROF,10.1007/s10048-007-0114-0,18097693,Neurogenetics,Article,Scopus
"Martinez I., Gardiner A.S., Board K.F., Monzon F.A., Edwards R.P., Khan S.A.",Human papillomavirus type 16 reduces the expression of microRNA-218 in cervical carcinoma cells,2008,Oncogene,27,18,,2575,2582,,8,http://www.scopus.com/inward/record.url?eid=2-s2.0-42249105032&partnerID=40&md5=6d67844a10657f150b4e67ff4579ba61,,9509232,,ONCNE,10.1038/sj.onc.1210919,17998940,Oncogene,Article,Scopus
"Bray N.J., Holmans P.A., Van den bree M.B., Jones L., Elliston L.A., Hughes G., Richards A.L., Williams N.M., Craddock N., Owen M.J., O'donovan M.C.",Cis- and trans- loci influence expression of the schizophrenia susceptibility gene DTNBP1,2008,Human Molecular Genetics,17,8,,1169,1174,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-41849115577&partnerID=40&md5=02c551ffbf947b0cfa1acf34a759ff4b,,9646906,,HMGEE,10.1093/hmg/ddn006,18182443,Human Molecular Genetics,Article,Scopus
"Fontaine J.-F., Mirebeau-Prunier D., Franc B., Triau S., Rodien P., Houlgatte R., Malthiery Y., Savagner F.",Microarray analysis refines classification of non-medullary thyroid tumours of uncertain malignancy,2008,Oncogene,27,15,,2228,2236,,8,http://www.scopus.com/inward/record.url?eid=2-s2.0-41649120946&partnerID=40&md5=22b70ebfc9e688e29a22001424b1b4b1,,9509232,,ONCNE,10.1038/sj.onc.1210853,17968324,Oncogene,Article,Scopus
"Park S.-H., Choi M.-S., Park T.",Changes in the hepatic gene expression profile in a rat model of chronic ethanol treatment,2008,Food and Chemical Toxicology,46,4,,1378,1388,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-39149104368&partnerID=40&md5=799fc5b0d6ec4ac757ae3651a4d4cd67,,2786915,,FCTOD,10.1016/j.fct.2007.08.029,17920746,Food and Chemical Toxicology,Article,Scopus
"Jain M., Tyagi A.K., Khurana J.P.","Constitutive expression of a meiotic recombination protein gene homolog, OsTOP6A1, from rice confers abiotic stress tolerance in transgenic Arabidopsis plants",2008,Plant Cell Reports,27,4,,767,778,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-41049107111&partnerID=40&md5=e8309f6d9ef806fc7b63d509cbbab2c3,,7217714,,PCRPD,10.1007/s00299-007-0491-8,18071708,Plant Cell Reports,Article,Scopus
"Bachmeier B.E., Mohrenz I.V., Mirisola V., Schleicher E., Romeo F., Hohneke C., Jochum M., Nerlich A.G., Pfeffer U.",Curcumin downregulates the inflammatory cytokines CXCL1 and -2 in breast cancer cells via NFκB,2008,Carcinogenesis,29,4,,779,789,,15,http://www.scopus.com/inward/record.url?eid=2-s2.0-41849101660&partnerID=40&md5=24308d6d35de59f5b93daa276171a2f6,,1433334,,CRNGD,10.1093/carcin/bgm248,17999991,Carcinogenesis,Article,Scopus
"Toyoshima T., Vairaktaris E., Nkenke E., Schlegel K.A., Neukam F.W., Ries J.",Cytokeratin 17 mRNA expression has potential for diagnostic marker of oral squamous cell carcinoma,2008,Journal of Cancer Research and Clinical Oncology,134,4,,515,521,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-40049098969&partnerID=40&md5=4752ad861096bdaf121642946c181a93,,1715216,,JCROD,10.1007/s00432-007-0308-8,17786476,Journal of Cancer Research and Clinical Oncology,Article,Scopus
"Yamaguchi Y., Passeron T., Hoashi T., Watabe H., Rouzaud F., Yasumoto K.-I., Hara T., Tohyama C., Katayama I., Miki T., Hearing V.J.",Dickkopf 1 (DKK1) regulates skin pigmentation and thickness by affecting Wnt/β-catenin signaling in keratinocytes,2008,FASEB Journal,22,4,,1009,1020,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-42049101416&partnerID=40&md5=e9cb70196f47d0348985f037f897f5ff,,8926638,,FAJOE,10.1096/fj.07-9475com,17984176,FASEB Journal,Article,Scopus
"Richardson S.M., Knowles R., Tyler J., Mobasheri A., Hoyland J.A.","Expression of glucose transporters GLUT-1, GLUT-3, GLUT-9 and HIF-1α in normal and degenerate human intervertebral disc",2008,Histochemistry and Cell Biology,129,4,,503,511,,6,http://www.scopus.com/inward/record.url?eid=2-s2.0-41049084437&partnerID=40&md5=d55d7df2603fbf12080306eb20be8e85,,9486143,,HCBIF,10.1007/s00418-007-0372-9,18172662,Histochemistry and Cell Biology,Article,Scopus
"Yokotani N., Ichikawa T., Kondou Y., Matsui M., Hirochika H., Iwabuchi M., Oda K.",Expression of rice heat stress transcription factor OsHsfA2e enhances tolerance to environmental stresses in transgenic Arabidopsis,2008,Planta,227,5,,957,967,,11,http://www.scopus.com/inward/record.url?eid=2-s2.0-43149100082&partnerID=40&md5=e0faf3587d39ee1bbaec73d125ea8ad7,,320935,,PLANA,10.1007/s00425-007-0670-4,18064488,Planta,Article,Scopus
"Nantermet P., Harada S.-I., Liu Y., Cheng S., Johnson C., Yu Y., Kimme D., Holder D., Hodor P., Phillips R., Ray W.J.",Gene expression analyses in cynomolgus monkeys provides mechanistic insight into high-density lipoprotein-cholesterol reduction by androgens in primates,2008,Endocrinology,149,4,,1551,1561,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-41549111592&partnerID=40&md5=4d103425c4e5e0a2724f0e5a836605ff,,137227,,ENDOA,10.1210/en.2007-1151,18187556,Endocrinology,Article,Scopus
"Orwig K.E., Ryu B.-Y., Master S.R., Phillips B.T., Mack M., Avarbock M.R., Chodosh L., Brinster R.L.",Genes involved in post-transcriptional regulation are overrepresented in stem/progenitor spermatogonia of cryptorchid mouse testes,2008,Stem Cells,26,4,,927,938,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-49249087229&partnerID=40&md5=d5cc82d008015c04eba24b6dcec2f711,,10665099,,STCEE,10.1634/stemcells.2007-0893,18203673,Stem Cells,Article,Scopus
"Cui Y., Ramnarain D.B., Chiang Y.-C., Ding L.-H., McMahon J.S., Denis C.L.",Genome wide expression analysis of the CCR4-NOT complex indicates that it consists of three modules with the NOT module controlling SAGA-responsive genes,2008,Molecular Genetics and Genomics,279,4,,323,337,,5,http://www.scopus.com/inward/record.url?eid=2-s2.0-43349106039&partnerID=40&md5=df8a4cf17b6a62682ba4d29cc74f6d05,,16174615,,MGGOA,10.1007/s00438-007-0314-1,18214544,Molecular Genetics and Genomics,Article,Scopus
"Anderson G.G., Moreau-Marquis S., Stanton B.A., O'Toole G.A.",In vitro analysis of tobramycin-treated Pseudomonas aeruginosa biofilms on cystic fibrosis-derived airway epithelial cells,2008,Infection and Immunity,76,4,,1423,1433,,6,http://www.scopus.com/inward/record.url?eid=2-s2.0-42149086134&partnerID=40&md5=dbc3477ee33643f18b2be0da3e61ab32,,199567,,INFIB,10.1128/IAI.01373-07,18212077,Infection and Immunity,Article,Scopus
